         ps       /tb_lut_tanh/r_in              
          delta           /tb_lut_tanh/r_out     
          0  +0            UUUUUUUU UUUUUUUU 
          0  +1            10000000 UUUUUUUU 
          0  +2            10000000 01000000 
          0  +4            10000000 11000000 
       1000  +1            10000010 11000000 
       1000  +4            10000010 11000001 
       2000  +1            10000011 11000001 
       3000  +1            10000100 11000001 
       4000  +1            10000101 11000001 
       5000  +1            10000110 11000001 
       6000  +1            10000111 11000001 
       7000  +1            10001000 11000001 
       8000  +1            10001001 11000001 
       9000  +1            10001010 11000001 
      10000  +1            10001011 11000001 
      11000  +1            10001100 11000001 
      12000  +1            10001101 11000001 
      13000  +1            10001110 11000001 
      14000  +1            10001111 11000001 
      15000  +1            10010000 11000001 
      16000  +1            10010001 11000001 
      17000  +1            10010010 11000001 
      18000  +1            10010011 11000001 
      19000  +1            10010100 11000001 
      20000  +1            10010101 11000001 
      21000  +1            10010110 11000001 
      22000  +1            10010111 11000001 
      23000  +1            10011000 11000001 
      24000  +1            10011001 11000001 
      25000  +1            10011010 11000001 
      26000  +1            10011011 11000001 
      27000  +1            10011100 11000001 
      28000  +1            10011101 11000001 
      29000  +1            10011110 11000001 
      30000  +1            10011111 11000001 
      31000  +1            10100000 11000001 
      32000  +1            10100001 11000001 
      33000  +1            10100010 11000001 
      34000  +1            10100011 11000001 
      35000  +1            10100100 11000001 
      36000  +1            10100101 11000001 
      37000  +1            10100110 11000001 
      38000  +1            10100111 11000001 
      39000  +1            10101000 11000001 
      40000  +1            10101001 11000001 
      41000  +1            10101010 11000001 
      42000  +1            10101011 11000001 
      43000  +1            10101100 11000001 
      44000  +1            10101101 11000001 
      45000  +1            10101110 11000001 
      46000  +1            10101111 11000001 
      47000  +1            10110000 11000001 
      48000  +1            10110001 11000001 
      49000  +1            10110010 11000001 
      50000  +1            10110011 11000001 
      51000  +1            10110100 11000001 
      51000  +4            10110100 11000010 
      52000  +1            10110101 11000010 
      53000  +1            10110110 11000010 
      54000  +1            10110111 11000010 
      55000  +1            10111000 11000010 
      56000  +1            10111001 11000010 
      57000  +1            10111010 11000010 
      58000  +1            10111011 11000010 
      59000  +1            10111100 11000010 
      60000  +1            10111101 11000010 
      61000  +1            10111110 11000010 
      62000  +1            10111111 11000010 
      62000  +4            10111111 11000011 
      63000  +1            11000000 11000011 
      64000  +1            11000001 11000011 
      65000  +1            11000010 11000011 
      66000  +1            11000011 11000011 
      67000  +1            11000100 11000011 
      68000  +1            11000101 11000011 
      68000  +4            11000101 11000100 
      69000  +1            11000110 11000100 
      70000  +1            11000111 11000100 
      71000  +1            11001000 11000100 
      72000  +1            11001001 11000100 
      73000  +1            11001010 11000100 
      73000  +4            11001010 11000101 
      74000  +1            11001011 11000101 
      75000  +1            11001100 11000101 
      76000  +1            11001101 11000101 
      77000  +1            11001110 11000101 
      77000  +4            11001110 11000110 
      78000  +1            11001111 11000110 
      79000  +1            11010000 11000110 
      80000  +1            11010001 11000110 
      80000  +4            11010001 11000111 
      81000  +1            11010010 11000111 
      82000  +1            11010011 11000111 
      82000  +4            11010011 11001000 
      83000  +1            11010100 11001000 
      84000  +1            11010101 11001000 
      85000  +1            11010110 11001000 
      85000  +4            11010110 11001001 
      86000  +1            11010111 11001001 
      87000  +1            11011000 11001001 
      87000  +4            11011000 11001010 
      88000  +1            11011001 11001010 
      88000  +4            11011001 11001011 
      89000  +1            11011010 11001011 
      90000  +1            11011011 11001011 
      90000  +4            11011011 11001100 
      91000  +1            11011100 11001100 
      92000  +1            11011101 11001100 
      93000  +1            11011110 11001100 
      93000  +4            11011110 11001101 
      94000  +1            11011111 11001101 
      94000  +4            11011111 11001110 
      95000  +1            11100000 11001110 
      95000  +4            11100000 11001111 
      96000  +1            11100001 11001111 
      97000  +1            11100010 11001111 
      97000  +4            11100010 11010000 
      98000  +1            11100011 11010000 
      98000  +4            11100011 11010001 
      99000  +1            11100100 11010001 
      99000  +4            11100100 11010010 
     100000  +1            11100101 11010010 
     100000  +4            11100101 11010011 
     101000  +1            11100110 11010011 
     101000  +4            11100110 11010100 
     102000  +1            11100111 11010100 
     102000  +4            11100111 11010101 
     103000  +1            11101000 11010101 
     103000  +4            11101000 11010110 
     104000  +1            11101001 11010110 
     104000  +4            11101001 11011001 
     105000  +1            11101010 11011001 
     105000  +4            11101010 11011010 
     106000  +1            11101011 11011010 
     106000  +4            11101011 11011011 
     107000  +1            11101100 11011011 
     107000  +4            11101100 11011101 
     108000  +1            11101101 11011101 
     108000  +4            11101101 11011110 
     109000  +1            11101110 11011110 
     109000  +4            11101110 11100000 
     110000  +1            11101111 11100000 
     110000  +4            11101111 11100001 
     111000  +1            11110000 11100001 
     111000  +4            11110000 11100011 
     112000  +1            11110001 11100011 
     112000  +4            11110001 11100100 
     113000  +1            11110010 11100100 
     113000  +4            11110010 11100110 
     114000  +1            11110011 11100110 
     114000  +4            11110011 11101000 
     115000  +1            11110100 11101000 
     115000  +4            11110100 11101001 
     116000  +1            11110101 11101001 
     116000  +4            11110101 11101011 
     117000  +1            11110110 11101011 
     117000  +4            11110110 11101101 
     118000  +1            11110111 11101101 
     118000  +4            11110111 11101111 
     119000  +1            11111000 11101111 
     119000  +4            11111000 11110001 
     120000  +1            11111001 11110001 
     120000  +4            11111001 11110011 
     121000  +1            11111010 11110011 
     121000  +4            11111010 11110101 
     122000  +1            11111011 11110101 
     122000  +4            11111011 11110111 
     123000  +1            11111100 11110111 
     123000  +4            11111100 11111000 
     124000  +1            11111101 11111000 
     124000  +4            11111101 11111010 
     125000  +1            11111110 11111010 
     125000  +4            11111110 11111100 
     126000  +1            11111111 11111100 
     126000  +4            11111111 11111110 
     127000  +1            00000000 11111110 
     127000  +4            00000000 00000000 
     128000  +1            00000001 00000000 
     128000  +4            00000001 00000010 
     129000  +1            00000010 00000010 
     129000  +4            00000010 00000100 
     130000  +1            00000011 00000100 
     130000  +4            00000011 00000110 
     131000  +1            00000100 00000110 
     131000  +4            00000100 00001000 
     132000  +1            00000101 00001000 
     132000  +4            00000101 00001001 
     133000  +1            00000110 00001001 
     133000  +4            00000110 00001011 
     134000  +1            00000111 00001011 
     134000  +4            00000111 00001101 
     135000  +1            00001000 00001101 
     135000  +4            00001000 00001111 
     136000  +1            00001001 00001111 
     136000  +4            00001001 00010001 
     137000  +1            00001010 00010001 
     137000  +4            00001010 00010011 
     138000  +1            00001011 00010011 
     138000  +4            00001011 00010101 
